Model Outputs
100
,,Sub4:LHeadAngles,,,Sub4:LNeckAngles,,,Sub4:LThoraxAngles,,,Sub4:RHeadAngles,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
18,0,0.839134,2.79963,19.3957,-16.8226,-6.97476,-14.6852,17.305,1.56381,2.98137,0.839134,-2.79963,-19.3957
19,0,0.862487,2.7836,19.3044,-16.8426,-6.93432,-14.6053,17.2862,1.56468,2.9769,0.862487,-2.7836,-19.3044
20,0,0.894252,2.76787,19.2119,-16.871,-6.8991,-14.5214,17.2684,1.56297,2.97407,0.894252,-2.76787,-19.2119
21,0,0.933095,2.75223,19.118,-16.9068,-6.86827,-14.4338,17.2519,1.55885,2.97241,0.933095,-2.75223,-19.118
22,0,0.977415,2.73646,19.0214,-16.9485,-6.84021,-14.3428,17.2365,1.55286,2.97097,0.977415,-2.73646,-19.0214
23,0,1.02593,2.72067,18.9214,-16.9947,-6.81347,-14.2487,17.2216,1.54575,2.96863,1.02593,-2.72067,-18.9214
24,0,1.07797,2.70548,18.8179,-17.0443,-6.78763,-14.1524,17.2066,1.53813,2.9645,1.07797,-2.70548,-18.8179
25,0,1.13365,2.69204,18.7122,-17.0966,-6.76372,-14.0553,17.1912,1.53031,2.95823,1.13365,-2.69204,-18.7122
26,0,1.19352,2.68155,18.6064,-17.1517,-6.74346,-13.9588,17.1753,1.52244,2.9499,1.19352,-2.68155,-18.6064
27,0,1.25773,2.67436,18.5023,-17.2093,-6.72758,-13.8642,17.1589,1.51456,2.9399,1.25773,-2.67436,-18.5023
28,0,1.32557,2.66959,18.3998,-17.2688,-6.71506,-13.7714,17.1417,1.5067,2.92874,1.32557,-2.66959,-18.3998
29,0,1.39595,2.66573,18.2983,-17.3293,-6.70382,-13.6797,17.1235,1.4989,2.91688,1.39595,-2.66573,-18.2983
30,0,1.46811,2.66146,18.1964,-17.3903,-6.69189,-13.5882,17.1037,1.49126,2.9047,1.46811,-2.66146,-18.1964
31,0,1.54185,2.65582,18.0933,-17.4515,-6.67772,-13.4961,17.0821,1.48394,2.89233,1.54185,-2.65582,-18.0933
32,0,1.61763,2.64809,17.9879,-17.5134,-6.66024,-13.4029,17.058,1.47712,2.87973,1.61763,-2.64809,-17.9879
33,0,1.69662,2.63772,17.8797,-17.5769,-6.63889,-13.308,17.0312,1.47087,2.86669,1.69662,-2.63772,-17.8797
34,0,1.78073,2.62446,17.7681,-17.6439,-6.61381,-13.2112,17.0016,1.46515,2.85297,1.78073,-2.62446,-17.7681
35,0,1.87237,2.60845,17.6529,-17.7167,-6.58587,-13.1121,16.9692,1.45982,2.83836,1.87237,-2.60845,-17.6529
36,0,1.97418,2.58998,17.5342,-17.7983,-6.55634,-13.0102,16.9346,1.45465,2.82288,1.97418,-2.58998,-17.5342
37,0,2.08877,2.5692,17.4121,-17.8917,-6.52654,-12.9048,16.8984,1.44932,2.80683,2.08877,-2.5692,-17.4121
38,0,2.21867,2.54605,17.2862,-18.0003,-6.49765,-12.7945,16.8619,1.44342,2.79094,2.21867,-2.54605,-17.2862
39,0,2.36625,2.52035,17.1562,-18.1278,-6.47061,-12.6778,16.8263,1.43651,2.77608,2.36625,-2.52035,-17.1562
40,0,2.53386,2.49181,17.0217,-18.2773,-6.44595,-12.5532,16.7924,1.42841,2.76286,2.53386,-2.49181,-17.0217
41,0,2.72406,2.46012,16.8827,-18.4516,-6.42378,-12.4206,16.7605,1.41925,2.75139,2.72406,-2.46012,-16.8827
42,0,2.93995,2.42509,16.7397,-18.6536,-6.40421,-12.2806,16.7302,1.40945,2.74124,2.93995,-2.42509,-16.7397
43,0,3.185,2.38662,16.5937,-18.8859,-6.38737,-12.1345,16.7008,1.39957,2.7317,3.185,-2.38662,-16.5937
44,0,3.46219,2.34434,16.4452,-19.1511,-6.37295,-11.9836,16.6718,1.39009,2.72207,3.46219,-2.34434,-16.4452
45,0,3.77278,2.2971,16.2934,-19.4506,-6.35958,-11.8277,16.6429,1.38111,2.71208,3.77278,-2.2971,-16.2934
46,0,4.11575,2.24311,16.1366,-19.7845,-6.34471,-11.6658,16.6146,1.37247,2.70185,4.11575,-2.24311,-16.1366
47,0,4.4889,2.18089,15.9731,-20.1515,-6.32587,-11.497,16.5874,1.36402,2.69161,4.4889,-2.18089,-15.9731
48,0,4.89019,2.11051,15.8029,-20.5496,-6.30233,-11.3217,16.5612,1.35576,2.68141,4.89019,-2.11051,-15.8029
49,0,5.31802,2.03333,15.6276,-20.9765,-6.275,-11.1415,16.5358,1.34783,2.67106,5.31802,-2.03333,-15.6276
50,0,5.77086,1.95127,15.449,-21.4294,-6.2452,-10.9583,16.5103,1.34044,2.66021,5.77086,-1.95127,-15.449
51,0,6.24714,1.86624,15.2689,-21.9052,-6.21424,-10.7738,16.4838,1.33378,2.64856,6.24714,-1.86624,-15.2689
52,0,6.74523,1.77974,15.0885,-22.4011,-6.18316,-10.5891,16.4556,1.32787,2.63617,6.74523,-1.77974,-15.0885
53,0,7.26369,1.69254,14.9087,-22.915,-6.15247,-10.4047,16.4254,1.3226,2.62347,7.26369,-1.69254,-14.9087
54,0,7.80194,1.6047,14.7298,-23.4461,-6.12205,-10.2206,16.3928,1.31781,2.61095,7.80194,-1.6047,-14.7298
55,0,8.36069,1.51581,14.5513,-23.9951,-6.09144,-10.0361,16.3578,1.31335,2.59912,8.36069,-1.51581,-14.5513
56,0,8.94202,1.42526,14.3724,-24.5643,-6.06026,-9.84996,16.3206,1.30899,2.58843,8.94202,-1.42526,-14.3724
57,0,9.54901,1.33232,14.1921,-25.1575,-6.02835,-9.66113,16.2817,1.30448,2.57921,9.54901,-1.33232,-14.1921
58,0,10.1851,1.23611,14.0098,-25.779,-5.99559,-9.46894,16.2418,1.29959,2.57164,10.1851,-1.23611,-14.0098
59,0,10.8529,1.13552,13.8257,-26.4324,-5.96171,-9.27374,16.2019,1.29421,2.56565,10.8529,-1.13552,-13.8257
60,0,11.5542,1.02953,13.6404,-27.1201,-5.92636,-9.07682,16.1625,1.28839,2.56097,11.5542,-1.02953,-13.6404
61,0,12.2885,0.917514,13.455,-27.8426,-5.88925,-8.87996,16.1245,1.2823,2.55728,12.2885,-0.917514,-13.455
62,0,13.0543,0.799373,13.2705,-28.5987,-5.85018,-8.68486,16.0884,1.27616,2.55428,13.0543,-0.799373,-13.2705
63,0,13.8492,0.675602,13.0878,-29.3865,-5.80915,-8.49269,16.0545,1.27025,2.55175,13.8492,-0.675602,-13.0878
64,0,14.6706,0.547227,12.9073,-30.2033,-5.76652,-8.30409,16.0231,1.2648,2.5496,14.6706,-0.547227,-12.9073
65,0,15.5167,0.415643,12.7296,-31.0468,-5.72303,-8.11926,15.9939,1.25997,2.5478,15.5167,-0.415643,-12.7296
66,0,16.3856,0.282361,12.5547,-31.9144,-5.6795,-7.93797,15.9665,1.25577,2.54639,16.3856,-0.282361,-12.5547
67,0,17.2754,0.148714,12.3823,-32.8035,-5.63643,-7.7596,15.9403,1.25215,2.54549,17.2754,-0.148714,-12.3823
68,0,18.1841,0.0156516,12.2117,-33.7113,-5.59384,-7.58332,15.9145,1.24898,2.54533,18.1841,-0.0156516,-12.2117
69,0,19.1101,-0.11618,12.0421,-34.6352,-5.55139,-7.40815,15.8884,1.24618,2.54615,19.1101,0.11618,-12.0421
70,0,20.0519,-0.246171,11.8724,-35.573,-5.50868,-7.23306,15.8611,1.24368,2.54818,20.0519,0.246171,-11.8724
71,0,21.0082,-0.373647,11.7022,-36.5227,-5.46565,-7.05745,15.8319,1.24147,2.5515,21.0082,0.373647,-11.7022
72,0,21.9779,-0.497951,11.532,-37.4822,-5.42286,-6.88136,15.8,1.23945,2.55619,21.9779,0.497951,-11.532
73,0,22.9597,-0.618658,11.3627,-38.4494,-5.38122,-6.70543,15.7647,1.23737,2.5624,22.9597,0.618658,-11.3627
74,0,23.9517,-0.735795,11.1957,-39.4217,-5.3416,-6.53068,15.7253,1.23477,2.5704,23.9517,0.735795,-11.1957
75,0,24.9516,-0.849782,11.0318,-40.3961,-5.30436,-6.35798,15.6813,1.23108,2.58059,24.9516,0.849782,-11.0318
76,0,25.9568,-0.961084,10.8712,-41.3693,-5.26923,-6.18755,15.632,1.2258,2.59335,25.9568,0.961084,-10.8712
77,0,26.9641,-1.06977,10.713,-42.3378,-5.23543,-6.01889,15.5769,1.21862,2.60889,26.9641,1.06977,-10.713
78,0,27.9705,-1.1751,10.556,-43.2981,-5.20229,-5.85093,15.5156,1.20953,2.62713,27.9705,1.1751,-10.556
79,0,28.9727,-1.27539,10.3998,-44.2464,-5.17001,-5.6826,15.4475,1.19868,2.64766,28.9727,1.27539,-10.3998
80,0,29.9676,-1.36828,10.2448,-45.179,-5.14011,-5.51337,15.3722,1.18623,2.66987,29.9676,1.36828,-10.2448
81,0,30.9518,-1.45147,10.0931,-46.0914,-5.11517,-5.34363,15.2891,1.17223,2.69321,30.9518,1.45147,-10.0931
82,0,31.9211,-1.52341,9.94759,-46.9791,-5.09802,-5.17461,15.1979,1.15653,2.71745,31.9211,1.52341,-9.94759
83,0,32.8708,-1.58333,9.81103,-47.8371,-5.09085,-5.00748,15.0985,1.1389,2.74276,32.8708,1.58333,-9.81103
84,0,33.796,-1.63086,9.68482,-48.6606,-5.09464,-4.84243,14.9912,1.11913,2.76962,33.796,1.63086,-9.68482
85,0,34.6919,-1.66564,9.56901,-49.4451,-5.10937,-4.67854,14.8763,1.097,2.79864,34.6919,1.66564,-9.56901
86,0,35.5538,-1.68706,9.46268,-50.1869,-5.13449,-4.51404,14.7544,1.07239,2.83038,35.5538,1.68706,-9.46268
87,0,36.3775,-1.69408,9.36432,-50.882,-5.16905,-4.34689,14.6258,1.04535,2.86502,36.3775,1.69408,-9.36432
88,0,37.1582,-1.68569,9.27212,-51.5265,-5.2117,-4.17537,14.4912,1.01613,2.90228,37.1582,1.68569,-9.27212
89,0,37.892,-1.66143,9.18438,-52.1171,-5.26067,-3.99873,14.3509,0.985158,2.94149,37.892,1.66143,-9.18438
90,0,38.5765,-1.62175,9.09949,-52.652,-5.31381,-3.81711,14.2056,0.952971,2.98175,38.5765,1.62175,-9.09949
91,0,39.2109,-1.56804,9.01559,-53.1319,-5.36843,-3.63104,14.0559,0.920084,3.02224,39.2109,1.56804,-9.01559
92,0,39.7971,-1.5024,8.93014,-53.5596,-5.42125,-3.44078,13.9028,0.886935,3.06237,39.7971,1.5024,-8.93014
93,0,40.3391,-1.42698,8.84048,-53.9408,-5.46912,-3.2463,13.7475,0.853996,3.10167,40.3391,1.42698,-8.84048
94,0,40.8427,-1.34369,8.7449,-54.2832,-5.5099,-3.04777,13.5914,0.821846,3.13955,40.8427,1.34369,-8.7449
95,0,41.3144,-1.25395,8.64334,-54.595,-5.5431,-2.84607,13.4361,0.791097,3.17534,41.3144,1.25395,-8.64334
96,0,41.7604,-1.15857,8.53759,-54.8837,-5.57006,-2.64279,13.2828,0.76229,3.20831,41.7604,1.15857,-8.53759
97,0,42.1858,-1.05747,8.43056,-55.1552,-5.59358,-2.43939,13.1327,0.735781,3.23789,42.1858,1.05747,-8.43056
98,0,42.5947,-0.949686,8.32512,-55.4143,-5.61698,-2.23632,12.9864,0.711679,3.26393,42.5947,0.949686,-8.32512
99,0,42.9904,-0.833789,8.2241,-55.6646,-5.64386,-2.03322,12.8446,0.689951,3.2867,42.9904,0.833789,-8.2241
100,0,43.3759,-0.708557,8.13107,-55.909,-5.67838,-1.82997,12.7075,0.670435,3.30686,43.3759,0.708557,-8.13107
101,0,43.7542,-0.573724,8.05073,-56.1503,-5.72527,-1.62744,12.5751,0.652774,3.32548,43.7542,0.573724,-8.05073
102,0,44.1276,-0.430204,7.98837,-56.3903,-5.78905,-1.42775,12.4471,0.6366,3.34377,44.1276,0.430204,-7.98837
103,0,44.4971,-0.279977,7.94907,-56.6291,-5.87312,-1.23415,12.3232,0.621803,3.36267,44.4971,0.279977,-7.94907
104,0,44.8617,-0.12602,7.93642,-56.8658,-5.97874,-1.05037,12.2031,0.608524,3.38288,44.8617,0.12602,-7.93642
105,0,45.2196,0.0278868,7.95113,-57.0981,-6.10419,-0.87944,12.0865,0.596976,3.405,45.2196,-0.0278868,-7.95113
106,0,45.5677,0.177685,7.99029,-57.3232,-6.24451,-0.722897,11.9732,0.587438,3.42954,45.5677,-0.177685,-7.99029
107,0,45.9028,0.319655,8.04789,-57.5383,-6.39221,-0.580691,11.8633,0.580291,3.45672,45.9028,-0.319655,-8.04789
108,0,46.2216,0.450553,8.11661,-57.7408,-6.53903,-0.451958,11.7567,0.575855,3.48649,46.2216,-0.450553,-8.11661
109,0,46.5219,0.567303,8.18992,-57.9291,-6.67782,-0.336351,11.6538,0.574243,3.51858,46.5219,-0.567303,-8.18992
110,0,46.8025,0.667152,8.2636,-58.1025,-6.80382,-0.234658,11.5548,0.575318,3.5524,46.8025,-0.667152,-8.2636
111,0,47.0632,0.748373,8.3358,-58.2614,-6.91516,-0.148137,11.46,0.578686,3.58729,47.0632,-0.748373,-8.3358
112,0,47.3043,0.810564,8.40636,-58.4064,-7.01219,-0.077801,11.3699,0.583882,3.62252,47.3043,-0.810564,-8.40636
113,0,47.5265,0.854408,8.47576,-58.5385,-7.09615,-0.024108,11.285,0.590624,3.6573,47.5265,-0.854408,-8.47576
114,0,47.73,0.881446,8.54445,-58.6586,-7.1685,0.0133336,11.2058,0.598832,3.69099,47.73,-0.881446,-8.54445
115,0,47.9154,0.893834,8.61278,-58.767,-7.23073,0.0356242,11.1326,0.608537,3.72309,47.9154,-0.893834,-8.61278
116,0,48.0827,0.893892,8.68113,-58.8637,-7.28436,0.0439899,11.0651,0.619812,3.75318,48.0827,-0.893892,-8.68113
117,0,48.2324,0.88377,8.74956,-58.9484,-7.33062,0.0396913,11.0027,0.632617,3.78084,48.2324,-0.88377,-8.74956
118,0,48.3651,0.865471,8.81718,-59.021,-7.37005,0.024546,10.9449,0.646665,3.80579,48.3651,-0.865471,-8.81718
119,0,48.4812,0.841016,8.88185,-59.0817,-7.40251,0.00142298,10.8913,0.661326,3.82813,48.4812,-0.841016,-8.88185
120,0,48.5813,0.8125,8.94048,-59.1305,-7.4274,-0.0257442,10.8415,0.675582,3.84844,48.5813,-0.8125,-8.94048
121,0,48.6655,0.781932,8.98963,-59.1677,-7.4439,-0.0527376,10.7953,0.688313,3.86747,48.6655,-0.781932,-8.98963
122,0,48.734,0.75101,9.02657,-59.1939,-7.45131,-0.0762726,10.7531,0.698742,3.88561,48.734,-0.75101,-9.02657
123,0,48.7872,0.720932,9.05027,-59.2097,-7.44976,-0.0948038,10.7153,0.706478,3.90276,48.7872,-0.720932,-9.05027
124,0,48.8261,0.692178,9.06176,-59.216,-7.44065,-0.108701,10.6818,0.711292,3.91856,48.8261,-0.692178,-9.06176
125,0,48.8524,0.664321,9.06354,-59.2141,-7.42601,-0.119942,10.6523,0.713168,3.93247,48.8524,-0.664321,-9.06354
126,0,48.8688,0.636336,9.05845,-59.2067,-7.40753,-0.131238,10.627,0.712507,3.94374,48.8688,-0.636336,-9.05845
127,0,48.8773,0.607593,9.04865,-59.1967,-7.38623,-0.144648,10.6067,0.71004,3.95154,48.8773,-0.607593,-9.04865
128,0,48.8793,0.578539,9.03542,-59.1858,-7.36294,-0.160608,10.5919,0.706362,3.95543,48.8793,-0.578539,-9.03542
129,0,48.8752,0.550223,9.01963,-59.1745,-7.33887,-0.178415,10.5827,0.70159,3.95561,48.8752,-0.550223,-9.01963
130,0,48.8646,0.523523,9.0024,-59.162,-7.31549,-0.197434,10.5789,0.695617,3.95261,48.8646,-0.523523,-9.0024
131,0,48.8472,0.498902,8.985,-59.1474,-7.29401,-0.217595,10.58,0.688477,3.94687,48.8472,-0.498902,-8.985
132,0,48.8221,0.476463,8.96818,-59.1294,-7.27481,-0.239071,10.5856,0.680421,3.93869,48.8221,-0.476463,-8.96818
133,0,48.7884,0.456128,8.95167,-59.1067,-7.25711,-0.261758,10.5954,0.671859,3.92826,48.7884,-0.456128,-8.95167
134,0,48.745,0.437947,8.93407,-59.0781,-7.23911,-0.284931,10.6089,0.663306,3.91573,48.745,-0.437947,-8.93407
135,0,48.6911,0.422304,8.91337,-59.0422,-7.21866,-0.307302,10.6257,0.655294,3.90118,48.6911,-0.422304,-8.91337
136,0,48.6262,0.409795,8.88768,-58.9983,-7.19394,-0.327466,10.6451,0.648281,3.88466,48.6262,-0.409795,-8.88768
137,0,48.5505,0.40092,8.85584,-58.9458,-7.16383,-0.344433,10.6664,0.64259,3.86619,48.5505,-0.40092,-8.85584
138,0,48.4648,0.395861,8.81769,-58.8847,-7.12816,-0.357912,10.689,0.638389,3.84578,48.4648,-0.395861,-8.81769
139,0,48.3701,0.394477,8.77403,-58.8152,-7.08754,-0.368258,10.712,0.635693,3.82359,48.3701,-0.394477,-8.77403
140,0,48.2669,0.396462,8.72621,-58.7374,-7.04315,-0.376125,10.7348,0.634376,3.79988,48.2669,-0.396462,-8.72621
141,0,48.1555,0.401604,8.67573,-58.6511,-6.99643,-0.381938,10.7575,0.634167,3.77515,48.1555,-0.401604,-8.67573
142,0,48.0355,0.409906,8.62382,-58.5567,-6.94902,-0.385419,10.7805,0.634564,3.75027,48.0355,-0.409906,-8.62382
143,0,47.9063,0.421435,8.57126,-58.4547,-6.90253,-0.385477,10.8053,0.63471,3.72657,47.9063,-0.421435,-8.57126
144,0,47.7666,0.436058,8.51832,-58.3456,-6.85829,-0.380735,10.834,0.633512,3.70557,47.7666,-0.436058,-8.51832
145,0,47.615,0.45322,8.46508,-58.2294,-6.81707,-0.370486,10.8676,0.629992,3.68851,47.615,-0.45322,-8.46508
146,0,47.45,0.471882,8.41187,-58.1048,-6.7791,-0.355367,10.9066,0.623575,3.67592,47.45,-0.471882,-8.41187
147,0,47.2694,0.490905,8.35934,-57.9689,-6.74417,-0.337343,10.95,0.614248,3.66754,47.2694,-0.490905,-8.35934
148,0,47.0705,0.509829,8.30844,-57.8174,-6.71181,-0.319182,10.9965,0.602751,3.662,47.0705,-0.509829,-8.30844
149,0,46.8499,0.529132,8.26044,-57.6459,-6.68165,-0.30392,11.0451,0.5905,3.65712,46.8499,-0.529132,-8.26044
150,0,46.6049,0.549657,8.21716,-57.4512,-6.65406,-0.294326,11.0954,0.578896,3.65081,46.6049,-0.549657,-8.21716
151,0,46.3334,0.57214,8.18063,-57.232,-6.63038,-0.292141,11.148,0.568623,3.64197,46.3334,-0.57214,-8.18063
152,0,46.0341,0.597452,8.1521,-56.9878,-6.61191,-0.297748,11.2041,0.559914,3.63028,46.0341,-0.597452,-8.1521
153,0,45.705,0.627057,8.13151,-56.7182,-6.59903,-0.31029,11.2653,0.553143,3.61545,45.705,-0.627057,-8.13151
154,0,45.3446,0.66294,8.11773,-56.4223,-6.59179,-0.327483,11.3322,0.548366,3.59768,45.3446,-0.66294,-8.11773
155,0,44.9517,0.706877,8.10929,-56.0989,-6.59086,-0.345938,11.4047,0.544653,3.57834,44.9517,-0.706877,-8.10929
156,0,44.5264,0.759802,8.10471,-55.7471,-6.59692,-0.362564,11.4821,0.540615,3.55916,44.5264,-0.759802,-8.10471
157,0,44.0693,0.821813,8.10241,-55.3666,-6.60973,-0.375515,11.5636,0.535303,3.54115,44.0693,-0.821813,-8.10241
158,0,43.5811,0.892284,8.10085,-54.9581,-6.62819,-0.38417,11.6486,0.528301,3.52464,43.5811,-0.892284,-8.10085
159,0,43.0626,0.969711,8.09892,-54.5215,-6.65057,-0.389424,11.7365,0.519644,3.50942,43.0626,-0.969711,-8.09892
160,0,42.514,1.05156,8.09605,-54.0562,-6.67432,-0.393961,11.8262,0.509949,3.4947,42.514,-1.05156,-8.09605
161,0,41.9355,1.13443,8.09198,-53.5616,-6.69638,-0.401323,11.9166,0.500023,3.47967,41.9355,-1.13443,-8.09198
162,0,41.3276,1.21466,8.08669,-53.0376,-6.71397,-0.414735,12.0069,0.490466,3.46404,41.3276,-1.21466,-8.08669
163,0,40.6914,1.28905,8.0805,-52.4852,-6.72465,-0.436966,12.0969,0.482062,3.44767,40.6914,-1.28905,-8.0805
164,0,40.0285,1.35536,8.07404,-51.9067,-6.72645,-0.4703,12.187,0.475973,3.43005,40.0285,-1.35536,-8.07404
165,0,39.3406,1.41263,8.06779,-51.3044,-6.71827,-0.515769,12.2779,0.473159,3.4108,39.3406,-1.41263,-8.06779
166,0,38.6287,1.4614,8.06162,-50.6803,-6.70005,-0.57251,12.3703,0.473901,3.38994,38.6287,-1.4614,-8.06162
167,0,37.8928,1.50341,8.05483,-50.0346,-6.67259,-0.638093,12.4647,0.477826,3.36787,37.8928,-1.50341,-8.05483
168,0,37.1321,1.54105,8.0464,-49.367,-6.63727,-0.709318,12.5614,0.484122,3.34523,37.1321,-1.54105,-8.0464
169,0,36.3456,1.57675,8.03534,-48.6765,-6.59571,-0.782955,12.6606,0.491801,3.32271,36.3456,-1.57675,-8.03534
170,0,35.5332,1.6125,8.02122,-47.9621,-6.54965,-0.85658,12.7619,0.499941,3.30092,35.5332,-1.6125,-8.02122
171,0,34.6955,1.64944,8.00436,-47.2237,-6.50069,-0.929034,12.8641,0.50784,3.2803,34.6955,-1.64944,-8.00436
172,0,33.8346,1.68779,7.9855,-46.4618,-6.44997,-1.0002,12.9661,0.515058,3.26109,33.8346,-1.68779,-7.9855
173,0,32.9528,1.72712,7.96522,-45.6779,-6.39797,-1.07055,13.067,0.521365,3.24323,32.9528,-1.72712,-7.96522
174,0,32.0519,1.76679,7.94374,-44.873,-6.3446,-1.14071,13.1659,0.526634,3.22648,32.0519,-1.76679,-7.94374
175,0,31.1327,1.80625,7.92087,-44.047,-6.28942,-1.21124,13.2621,0.530789,3.21044,31.1327,-1.80625,-7.92087
176,0,30.1947,1.84493,7.89632,-43.1991,-6.23175,-1.28276,13.3549,0.533778,3.19468,30.1947,-1.84493,-7.89632
177,0,29.237,1.88216,7.87003,-42.3277,-6.17095,-1.35611,13.4436,0.535552,3.17882,29.237,-1.88216,-7.87003
178,0,28.259,1.91732,7.84237,-41.4317,-6.10664,-1.43223,13.5279,0.536085,3.16264,28.259,-1.91732,-7.84237
179,0,27.2607,1.95004,7.81404,-40.5105,-6.03888,-1.51183,13.6071,0.535394,3.14612,27.2607,-1.95004,-7.81404
180,0,26.2428,1.98017,7.78587,-39.5645,-5.968,-1.59533,13.681,0.533484,3.12936,26.2428,-1.98017,-7.78587
181,0,25.2074,2.00768,7.7586,-38.5956,-5.8945,-1.68291,13.7492,0.530319,3.11243,25.2074,-2.00768,-7.7586
182,0,24.1574,2.03254,7.73256,-37.6064,-5.81872,-1.77439,13.8117,0.525866,3.09526,24.1574,-2.03254,-7.73256
183,0,23.0966,2.05478,7.70751,-36.6009,-5.74064,-1.8691,13.8685,0.520195,3.0777,23.0966,-2.05478,-7.70751
184,0,22.029,2.07422,7.68265,-35.5834,-5.6597,-1.96594,13.9197,0.513538,3.05965,22.029,-2.07422,-7.68265
185,0,20.9586,2.0906,7.65688,-34.5584,-5.57497,-2.06347,13.9659,0.506277,3.04113,20.9586,-2.0906,-7.65688
186,0,19.8891,2.10376,7.62911,-33.5306,-5.48551,-2.16012,14.0077,0.498904,3.02224,19.8891,-2.10376,-7.62911
187,0,18.8239,2.11358,7.59849,-32.5044,-5.39061,-2.25445,14.0459,0.491971,3.00308,18.8239,-2.11358,-7.59849
188,0,17.7663,2.11966,7.5645,-31.484,-5.28952,-2.34559,14.0815,0.486002,2.98362,17.7663,-2.11966,-7.5645
189,0,16.7194,2.12124,7.52682,-30.4739,-5.18152,-2.43297,14.1157,0.481381,2.96387,16.7194,-2.12124,-7.52682
190,0,15.6861,2.11739,7.48512,-29.4781,-5.06602,-2.51588,14.1493,0.478208,2.94407,15.6861,-2.11739,-7.48512
191,0,14.6693,2.10728,7.43903,-28.5002,-4.94284,-2.59324,14.1833,0.476275,2.92477,14.6693,-2.10728,-7.43903
192,0,13.6708,2.09037,7.38825,-27.5431,-4.8121,-2.66397,14.2183,0.475274,2.90656,13.6708,-2.09037,-7.38825
193,0,12.6918,2.06649,7.33257,-26.6078,-4.67398,-2.72742,14.2545,0.475072,2.88961,12.6918,-2.06649,-7.33257
194,0,11.7324,2.03607,7.27169,-25.6941,-4.52889,-2.78321,14.2914,0.475742,2.87366,11.7324,-2.03607,-7.27169
195,0,10.7924,2.00009,7.205,-24.8012,-4.37755,-2.8306,14.3286,0.477365,2.85835,10.7924,-2.00009,-7.205
196,0,9.87185,1.95977,7.13176,-23.9285,-4.22092,-2.86853,14.3655,0.479924,2.84344,9.87185,-1.95977,-7.13176
197,0,8.97053,1.91612,7.05169,-23.0754,-4.06007,-2.89637,14.402,0.483347,2.82882,8.97053,-1.91612,-7.05169
198,0,8.0887,1.86973,6.96533,-22.2416,-3.89602,-2.91439,14.4374,0.487541,2.81441,8.0887,-1.86973,-6.96533
199,0,7.22717,1.8209,6.87381,-21.4273,-3.72988,-2.92356,14.4716,0.492382,2.80018,7.22717,-1.8209,-6.87381
200,0,6.38741,1.76978,6.77845,-20.6338,-3.5628,-2.92492,14.5043,0.497619,2.78616,6.38741,-1.76978,-6.77845
